PlayerID,Age,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,GameDifficulty_enc,EngagementLevel_enc,Gender_Female,Gender_Male,Location_Asia,Location_Europe,Location_Other,Location_USA,GameGenre_Action,GameGenre_RPG,GameGenre_Simulation,GameGenre_Sports,GameGenre_Strategy,AgeGroup,TotalWeeklyPlayMinutes,AchievementRate
9000,43,16.27111876,0,Medium,6,108,79,25,Medium,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,41-49,648,0.316455696
9001,29,5.525961381,0,Medium,5,144,11,10,Medium,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,21-30,720,0.909090909
9002,22,8.223755243,0,Easy,16,142,35,41,High,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21-30,2272,1.171428571
9003,35,5.265351277,1,Easy,9,85,57,47,Medium,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,31-40,765,0.824561404
9004,33,15.53194452,0,Medium,2,131,95,37,Medium,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,31-40,262,0.389473684
9005,37,20.56185541,0,Easy,2,81,74,22,Low,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31-40,162,0.297297297
9006,25,9.752716366,0,Hard,1,50,13,2,Low,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,21-30,50,0.153846154
9007,25,4.401729345,0,Medium,10,48,27,23,Medium,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21-30,480,0.851851852
9008,38,18.1527326,0,Easy,5,101,23,41,Medium,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,31-40,505,1.782608696
9009,38,23.94277173,0,Easy,13,95,99,36,High,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31-40,1235,0.363636364
9010,17,4.829915834,0,Hard,8,95,14,12,High,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,15-20,760,0.857142857
9011,36,5.535980925,1,Easy,16,124,62,31,High,0,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,31-40,1984,0.5
9012,16,18.77623381,1,Easy,9,18,52,32,High,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,15-20,162,0.615384615
9013,38,8.701959181,0,Easy,0,156,33,47,Low,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,31-40,0,1.424242424
